# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      51.85
2                      51.36
4                      51.05
8                      50.45
16                     51.07
32                     51.04
64                     51.35
128                    51.57
256                    51.93
512                    52.89
1024                   54.02
2048                   55.08
4096                   58.77
8192                   87.65
16384                 108.24
32768                 141.14
65536                  95.21
131072                128.30
262144                209.18
524288                376.20
1048576               695.40
