# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                   20314.98
8                   20318.41
16                  20310.23
32                  22389.29
64                     81.04
128                    82.70
256                    85.08
512                    91.37
1024                   97.40
2048                  109.37
4096                  110.45
8192                  108.30
16384                 115.16
32768                 124.03
65536                 148.31
131072                194.64
262144                313.31
524288                354.77
1048576               446.19
