# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                  117275.27
8                  117305.70
16                 117278.56
32                 118705.03
64                    107.58
128                   109.24
256                   113.52
512                   122.12
1024                  133.11
2048                  153.78
4096                  149.11
8192                  148.84
16384                 158.12
32768                 166.30
65536                 221.93
131072                307.35
262144                466.60
524288                499.23
1048576               646.24
