# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.26
8                      21.21
16                     21.14
32                     21.72
64                     21.36
128                    23.18
256                    32.46
512                    37.41
1024                   39.73
2048                   42.69
4096                   47.09
8192                   56.50
16384                  79.58
32768                  92.83
65536                 119.34
131072                153.56
262144                244.26
524288                405.59
1048576              1191.08
