# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.22
2                      21.76
4                      25.04
8                      27.37
16                     30.63
32                     32.78
64                     33.88
128                    35.69
256                    40.03
512                    50.78
1024                   64.23
2048                   89.69
4096                  136.64
8192                  225.49
16384                2413.70
32768                2416.77
65536                2671.97
131072               3056.50
262144               3800.96
524288               5210.60
1048576              8122.88
