# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     318.49
2                     317.59
4                     318.15
8                     319.44
16                    319.87
32                    320.44
64                    323.24
128                   326.12
256                   328.75
512                   340.09
1024                  366.26
2048                  426.68
4096                  921.21
8192                  819.70
16384                1541.74
32768                3161.30
65536              179439.97
131072              10993.88
262144              11094.62
524288               3601.32
1048576              4288.15
