# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.18
8                      31.24
16                     31.09
32                     31.26
64                     31.28
128                    33.65
256                    49.80
512                    50.68
1024                   55.51
2048                   57.91
4096                   64.56
8192                  101.64
16384                 267.96
32768                 292.05
65536                 313.94
131072                318.49
262144               1093.94
524288               1586.52
1048576              3820.09
