# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     127.37
2                     128.10
4                     137.50
8                     145.78
16                    158.75
32                    164.99
64                    616.35
128                   299.90
256                   384.80
512                   758.50
1024                  790.58
2048                  853.25
4096                  943.77
8192                 1176.46
16384                1689.16
32768                1935.79
65536                4136.69
131072               9935.97
262144              17143.88
524288              39530.05
1048576             69886.43
