# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.35
2                      21.58
4                      24.55
8                      27.38
16                     30.72
32                     32.81
64                     34.00
128                    35.79
256                    40.13
512                    51.04
1024                   64.21
2048                   89.98
4096                  136.54
8192                  225.45
16384                2394.33
32768                2452.89
65536                2685.76
131072               3080.52
262144               3813.00
524288               5174.93
1048576              8108.97
