# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.58
2                      46.49
4                      56.68
8                      57.49
16                     61.65
32                     64.44
64                     65.35
128                    70.71
256                   148.78
512                   406.48
1024                  564.75
2048                  211.02
4096                  229.47
8192                  281.08
16384                 354.93
32768                 518.53
65536                1071.84
131072               2372.92
262144               4898.79
524288               9992.67
1048576             20105.97
