# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.45
2                      20.52
4                      23.28
8                      26.44
16                     29.58
32                     31.69
64                     32.81
128                    35.25
256                    98.70
512                    53.38
1024                   70.25
2048                   98.88
4096                  150.30
8192                  239.64
16384                2361.16
32768                2692.69
65536                2913.15
131072               3292.56
262144               4019.40
524288               5368.51
1048576              8170.95
