# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.33
2                      48.22
4                      49.22
8                      51.33
16                     49.51
32                     53.47
64                     73.23
128                   112.47
256                   153.64
512                   229.54
1024                  369.11
2048                  642.47
4096                 1182.92
8192                 2260.52
16384                5127.42
32768                8796.52
65536               11200.49
131072              19234.41
262144              35309.27
524288              68050.19
1048576            127598.26

MPICH Slingshot Network Summary: 469 network timeouts

