# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     uint8    none      -1     0.37    0.00    0.00       0     0.28    0.00    0.00    N/A
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.28    0.00    0.00    N/A
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.29    0.00    0.00    N/A
           0             0     uint8    none      -1     0.29    0.00    0.00       0     0.29    0.00    0.00    N/A
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.29    0.00    0.00    N/A
           0             0     uint8    none      -1     0.27    0.00    0.00       0     0.26    0.00    0.00    N/A
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.24    0.00    0.00    N/A
           0             0     uint8    none      -1     0.22    0.00    0.00       0     0.24    0.00    0.00    N/A
         256            16     uint8    none      -1    41.62    0.01    0.01       0    40.07    0.01    0.01    N/A
         512            32     uint8    none      -1    38.92    0.01    0.01       0    39.17    0.01    0.01    N/A
        1024            64     uint8    none      -1    40.39    0.03    0.02       0    39.69    0.03    0.02    N/A
        2048           128     uint8    none      -1    40.62    0.05    0.05       0    39.84    0.05    0.05    N/A
        4096           256     uint8    none      -1    38.07    0.11    0.10       0    37.10    0.11    0.10    N/A
        8192           512     uint8    none      -1    37.97    0.22    0.20       0    38.58    0.21    0.20    N/A
       16384          1024     uint8    none      -1    37.10    0.44    0.41       0    37.85    0.43    0.41    N/A
       32768          2048     uint8    none      -1    38.59    0.85    0.80       0    38.96    0.84    0.79    N/A
       65536          4096     uint8    none      -1    38.04    1.72    1.62       0    40.16    1.63    1.53    N/A
      131072          8192     uint8    none      -1    39.67    3.30    3.10       0    41.14    3.19    2.99    N/A
      262144         16384     uint8    none      -1    48.30    5.43    5.09       0    66.01    3.97    3.72    N/A
      524288         32768     uint8    none      -1    51.77   10.13    9.49       0    51.72   10.14    9.50    N/A
     1048576         65536     uint8    none      -1   142.07    7.38    6.92       0   141.51    7.41    6.95    N/A
     2097152        131072     uint8    none      -1   281.55    7.45    6.98       0   115.84   18.10   16.97    N/A
     4194304        262144     uint8    none      -1   465.57    9.01    8.45       0   441.21    9.51    8.91    N/A
     8388608        524288     uint8    none      -1   915.44    9.16    8.59       0   941.84    8.91    8.35    N/A
    16777216       1048576     uint8    none      -1  1050.35   15.97   14.97       0   897.05   18.70   17.53    N/A
    33554432       2097152     uint8    none      -1  1923.15   17.45   16.36       0  2232.85   15.03   14.09    N/A
    67108864       4194304     uint8    none      -1  3722.58   18.03   16.90       0  4221.97   15.90   14.90    N/A
   134217728       8388608     uint8    none      -1  7059.67   19.01   17.82       0  6092.92   22.03   20.65    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 4.38539 
#
# Collective test concluded: alltoall_perf
#

