# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1     uint8     sum      -1     8.25    0.00    0.00       0     8.33    0.00    0.00       0
           2             2     uint8     sum      -1     8.39    0.00    0.00       0     8.30    0.00    0.00       0
           4             4     uint8     sum      -1     8.37    0.00    0.00       0     8.41    0.00    0.00       0
           8             8     uint8     sum      -1     8.35    0.00    0.00       0     8.31    0.00    0.00       0
          16            16     uint8     sum      -1     8.23    0.00    0.00       0     8.38    0.00    0.00       0
          32            32     uint8     sum      -1     8.71    0.00    0.01       0     8.71    0.00    0.01       0
          64            64     uint8     sum      -1     9.49    0.01    0.01       0     9.49    0.01    0.01       0
         128           128     uint8     sum      -1     9.74    0.01    0.02       0     9.49    0.01    0.02       0
         256           256     uint8     sum      -1     9.86    0.03    0.04       0     9.48    0.03    0.04       0
         512           512     uint8     sum      -1     9.95    0.05    0.08       0     9.56    0.05    0.08       0
        1024          1024     uint8     sum      -1     9.95    0.10    0.15       0    10.21    0.10    0.15       0
        2048          2048     uint8     sum      -1    10.15    0.20    0.30       0     9.71    0.21    0.32       0
        4096          4096     uint8     sum      -1    10.12    0.40    0.61       0     9.84    0.42    0.62       0
        8192          8192     uint8     sum      -1    10.62    0.77    1.16       0    10.16    0.81    1.21       0
       16384         16384     uint8     sum      -1    12.25    1.34    2.01       0    11.95    1.37    2.06       0
       32768         32768     uint8     sum      -1    12.54    2.61    3.92       0    12.11    2.70    4.06       0
       65536         65536     uint8     sum      -1    12.51    5.24    7.86       0    12.24    5.36    8.03       0
      131072        131072     uint8     sum      -1    12.92   10.14   15.21       0    12.40   10.57   15.85       0
      262144        262144     uint8     sum      -1    12.81   20.46   30.70       0    12.56   20.88   31.31       0
      524288        524288     uint8     sum      -1    16.80   31.20   46.81       0    15.84   33.09   49.64       0
     1048576       1048576     uint8     sum      -1    22.01   47.65   71.47       0    21.54   48.67   73.01       0
     2097152       2097152     uint8     sum      -1    34.97   59.97   89.96       0    34.86   60.16   90.24       0
     4194304       4194304     uint8     sum      -1    42.35   99.05  148.57       0    41.94  100.01  150.01       0
     8388608       8388608     uint8     sum      -1    61.88  135.56  203.34       0    61.37  136.69  205.04       0
    16777216      16777216     uint8     sum      -1   108.63  154.45  231.67       0   106.16  158.03  237.05       0
    33554432      33554432     uint8     sum      -1   185.26  181.12  271.68       0   184.88  181.50  272.24       0
    67108864      67108864     uint8     sum      -1   348.71  192.45  288.68       0   347.12  193.33  290.00       0
   134217728     134217728     uint8     sum      -1   654.25  205.15  307.72       0   652.05  205.84  308.76       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 61.8164 
#
# Collective test concluded: all_reduce_perf
#

