# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     uint8    none      -1     0.36    0.00    0.00       0     0.25    0.00    0.00    N/A
           0             0     uint8    none      -1     0.27    0.00    0.00       0     0.28    0.00    0.00    N/A
           0             0     uint8    none      -1     0.29    0.00    0.00       0     0.30    0.00    0.00    N/A
           0             0     uint8    none      -1     0.30    0.00    0.00       0     0.31    0.00    0.00    N/A
           0             0     uint8    none      -1     0.30    0.00    0.00       0     0.30    0.00    0.00    N/A
           0             0     uint8    none      -1     0.29    0.00    0.00       0     0.29    0.00    0.00    N/A
           0             0     uint8    none      -1     0.29    0.00    0.00       0     0.28    0.00    0.00    N/A
           0             0     uint8    none      -1     0.27    0.00    0.00       0     0.27    0.00    0.00    N/A
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.27    0.00    0.00    N/A
         512            16     uint8    none      -1    77.57    0.01    0.01       0    73.57    0.01    0.01    N/A
        1024            32     uint8    none      -1   109.37    0.01    0.01       0    72.81    0.01    0.01    N/A
        2048            64     uint8    none      -1    77.11    0.03    0.03       0    76.34    0.03    0.03    N/A
        4096           128     uint8    none      -1    76.36    0.05    0.05       0    74.99    0.05    0.05    N/A
        8192           256     uint8    none      -1    68.55    0.12    0.12       0    68.74    0.12    0.12    N/A
       16384           512     uint8    none      -1    69.54    0.24    0.23       0    67.62    0.24    0.23    N/A
       32768          1024     uint8    none      -1    92.98    0.35    0.34       0    70.78    0.46    0.45    N/A
       65536          2048     uint8    none      -1    78.51    0.83    0.81       0    80.75    0.81    0.79    N/A
      131072          4096     uint8    none      -1    84.13    1.56    1.51       0   106.43    1.23    1.19    N/A
      262144          8192     uint8    none      -1   119.38    2.20    2.13       0    99.55    2.63    2.55    N/A
      524288         16384     uint8    none      -1   124.47    4.21    4.08       0   122.78    4.27    4.14    N/A
     1048576         32768     uint8    none      -1   175.34    5.98    5.79       0   174.60    6.01    5.82    N/A
     2097152         65536     uint8    none      -1   343.67    6.10    5.91       0   330.49    6.35    6.15    N/A
     4194304        131072     uint8    none      -1   534.27    7.85    7.61       0   528.68    7.93    7.69    N/A
     8388608        262144     uint8    none      -1  1058.57    7.92    7.68       0  1086.13    7.72    7.48    N/A
    16777216        524288     uint8    none      -1  2195.72    7.64    7.40       0  2252.38    7.45    7.22    N/A
    33554432       1048576     uint8    none      -1  2206.29   15.21   14.73       0  1997.47   16.80   16.27    N/A
    67108864       2097152     uint8    none      -1  4716.64   14.23   13.78       0  5222.94   12.85   12.45    N/A
   134217728       4194304     uint8    none      -1  8721.11   15.39   14.91       0  9835.82   13.65   13.22    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.0888 
#
# Collective test concluded: alltoall_perf
#

