# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     uint8    none      -1     0.18    0.00    0.00       0     0.14    0.00    0.00    N/A
           0             0     uint8    none      -1     0.13    0.00    0.00       0     0.17    0.00    0.00    N/A
           0             0     uint8    none      -1     0.18    0.00    0.00       0     0.19    0.00    0.00    N/A
           0             0     uint8    none      -1     0.18    0.00    0.00       0     0.17    0.00    0.00    N/A
           0             0     uint8    none      -1     0.16    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     uint8    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
          64            16     uint8    none      -1     7.03    0.01    0.01       0     6.99    0.01    0.01    N/A
         128            32     uint8    none      -1     7.29    0.02    0.01       0     7.03    0.02    0.01    N/A
         256            64     uint8    none      -1     7.32    0.03    0.03       0     6.88    0.04    0.03    N/A
         512           128     uint8    none      -1     7.21    0.07    0.05       0     7.13    0.07    0.05    N/A
        1024           256     uint8    none      -1     7.25    0.14    0.11       0     6.95    0.15    0.11    N/A
        2048           512     uint8    none      -1     7.27    0.28    0.21       0     7.29    0.28    0.21    N/A
        4096          1024     uint8    none      -1     7.34    0.56    0.42       0     7.03    0.58    0.44    N/A
        8192          2048     uint8    none      -1     7.34    1.12    0.84       0     7.22    1.14    0.85    N/A
       16384          4096     uint8    none      -1     7.96    2.06    1.54       0     7.70    2.13    1.60    N/A
       32768          8192     uint8    none      -1     8.78    3.73    2.80       0     8.49    3.86    2.89    N/A
       65536         16384     uint8    none      -1    10.31    6.36    4.77       0    22.64    2.89    2.17    N/A
      131072         32768     uint8    none      -1    11.98   10.94    8.20       0    11.79   11.12    8.34    N/A
      262144         65536     uint8    none      -1    13.92   18.83   14.13       0    13.55   19.34   14.51    N/A
      524288        131072     uint8    none      -1    14.83   35.36   26.52       0    14.10   37.18   27.89    N/A
     1048576        262144     uint8    none      -1    15.19   69.01   51.76       0    14.72   71.22   53.42    N/A
     2097152        524288     uint8    none      -1    17.56  119.41   89.56       0    17.46  120.14   90.10    N/A
     4194304       1048576     uint8    none      -1    24.00  174.74  131.05       0    23.62  177.54  133.15    N/A
     8388608       2097152     uint8    none      -1    36.46  230.07  172.55       0    35.85  234.00  175.50    N/A
    16777216       4194304     uint8    none      -1    61.52  272.72  204.54       0    59.44  282.27  211.70    N/A
    33554432       8388608     uint8    none      -1   103.45  324.35  243.26       0   103.06  325.57  244.18    N/A
    67108864      16777216     uint8    none      -1   178.73  375.48  281.61       0   178.37  376.24  282.18    N/A
   134217728      33554432     uint8    none      -1   330.65  405.92  304.44       0   326.05  411.64  308.73    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 55.2943 
#
# Collective test concluded: alltoall_perf
#

