# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1     uint8     sum      -1   114.74    0.00    0.00       0    24.54    0.00    0.00       0
           2             2     uint8     sum      -1    23.84    0.00    0.00       0    23.78    0.00    0.00       0
           4             4     uint8     sum      -1    23.34    0.00    0.00       0    23.49    0.00    0.00       0
           8             8     uint8     sum      -1    23.71    0.00    0.00       0    23.71    0.00    0.00       0
          16            16     uint8     sum      -1    23.78    0.00    0.00       0    23.65    0.00    0.00       0
          32            32     uint8     sum      -1    24.30    0.00    0.00       0    24.15    0.00    0.00       0
          64            64     uint8     sum      -1    27.13    0.00    0.00       0    26.99    0.00    0.00       0
         128           128     uint8     sum      -1    27.61    0.00    0.01       0    27.09    0.00    0.01       0
         256           256     uint8     sum      -1    28.02    0.01    0.02       0    27.68    0.01    0.02       0
         512           512     uint8     sum      -1    28.90    0.02    0.03       0    28.08    0.02    0.03       0
        1024          1024     uint8     sum      -1    30.35    0.03    0.06       0    29.85    0.03    0.06       0
        2048          2048     uint8     sum      -1    31.93    0.06    0.12       0    31.33    0.07    0.12       0
        4096          4096     uint8     sum      -1    33.82    0.12    0.23       0    32.84    0.12    0.23       0
        8192          8192     uint8     sum      -1    34.37    0.24    0.45       0    33.32    0.25    0.46       0
       16384         16384     uint8     sum      -1    35.97    0.46    0.85       0    35.04    0.47    0.88       0
       32768         32768     uint8     sum      -1    37.32    0.88    1.65       0    35.17    0.93    1.75       0
       65536         65536     uint8     sum      -1    41.96    1.56    2.93       0    43.96    1.49    2.80       0
      131072        131072     uint8     sum      -1   109.15    1.20    2.25       0   108.73    1.21    2.26       0
      262144        262144     uint8     sum      -1    59.10    4.44    8.32       0    58.36    4.49    8.42       0
      524288        524288     uint8     sum      -1    69.50    7.54   14.15       0    69.45    7.55   14.15       0
     1048576       1048576     uint8     sum      -1    89.27   11.75   22.02       0    88.79   11.81   22.14       0
     2097152       2097152     uint8     sum      -1   293.16    7.15   13.41    2048   349.28    6.00   11.26    2304
     4194304       4194304     uint8     sum      -1   423.88    9.90   18.55    1024   391.26   10.72   20.10     832
     8388608       8388608     uint8     sum      -1   309.45   27.11   50.83       0   235.27   35.66   66.85       0
    16777216      16777216     uint8     sum      -1   405.34   41.39   77.61       0   565.84   29.65   55.59       0
    33554432      33554432     uint8     sum      -1  6204.66    5.41   10.14       0  3702.15    9.06   16.99       0
    67108864      67108864     uint8     sum      -1  39727.1    1.69    3.17       0  35642.2    1.88    3.53       0
   134217728     134217728     uint8     sum      -1  2819.64   47.60   89.25       0  2805.89   47.83   89.69       0
# Out of bounds values : 61 FAILED
# Avg bus bandwidth    : 11.3111 
#
# Collective test concluded: all_reduce_perf
#

