# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1     uint8     sum      -1    16.62    0.00    0.00       0    16.38    0.00    0.00       0
           2             2     uint8     sum      -1    16.64    0.00    0.00       0    16.37    0.00    0.00       0
           4             4     uint8     sum      -1    16.20    0.00    0.00       0    16.40    0.00    0.00       0
           8             8     uint8     sum      -1    16.35    0.00    0.00       0    16.24    0.00    0.00       0
          16            16     uint8     sum      -1    16.23    0.00    0.00       0    16.29    0.00    0.00       0
          32            32     uint8     sum      -1    16.41    0.00    0.00       0    16.65    0.00    0.00       0
          64            64     uint8     sum      -1    18.24    0.00    0.01       0    18.01    0.00    0.01       0
         128           128     uint8     sum      -1    18.23    0.01    0.01       0    17.93    0.01    0.01       0
         256           256     uint8     sum      -1    18.40    0.01    0.02       0    18.23    0.01    0.02       0
         512           512     uint8     sum      -1    18.81    0.03    0.05       0    18.78    0.03    0.05       0
        1024          1024     uint8     sum      -1    19.39    0.05    0.09       0    19.21    0.05    0.09       0
        2048          2048     uint8     sum      -1    20.30    0.10    0.18       0    20.17    0.10    0.18       0
        4096          4096     uint8     sum      -1    21.52    0.19    0.33       0    21.76    0.19    0.33       0
        8192          8192     uint8     sum      -1    22.69    0.36    0.63       0    22.35    0.37    0.64       0
       16384         16384     uint8     sum      -1    23.18    0.71    1.24       0    22.25    0.74    1.29       0
       32768         32768     uint8     sum      -1    24.89    1.32    2.30       0    23.36    1.40    2.45       0
       65536         65536     uint8     sum      -1    46.69    1.40    2.46       0    42.80    1.53    2.68       0
      131072        131072     uint8     sum      -1    46.55    2.82    4.93       0    46.12    2.84    4.97       0
      262144        262144     uint8     sum      -1    96.19    2.73    4.77       0    99.24    2.64    4.62       0
      524288        524288     uint8     sum      -1   153.93    3.41    5.96       0   156.89    3.34    5.85       0
     1048576       1048576     uint8     sum      -1   100.18   10.47   18.32     768   122.83    8.54   14.94       0
     2097152       2097152     uint8     sum      -1   175.21   11.97   20.95     128   173.20   12.11   21.19       0
     4194304       4194304     uint8     sum      -1   137.36   30.53   53.44       0   136.42   30.74   53.80       0
     8388608       8388608     uint8     sum      -1   310.09   27.05   47.34       0   281.94   29.75   52.07       0
    16777216      16777216     uint8     sum      -1   373.16   44.96   78.68       0   851.11   19.71   34.50       0
    33554432      33554432     uint8     sum      -1   870.41   38.55   67.46       0  1145.44   29.29   51.26       0
    67108864      67108864     uint8     sum      -1  1331.24   50.41   88.22       0  1309.20   51.26   89.70       0
   134217728     134217728     uint8     sum      -1  1964.40   68.33  119.57       0  1960.15   68.47  119.83       0
# Out of bounds values : 10 FAILED
# Avg bus bandwidth    : 17.4546 
#
# Collective test concluded: all_reduce_perf
#

