# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     uint8    none      -1     0.32    0.00    0.00       0     0.24    0.00    0.00       0
           0             0     uint8    none      -1     0.24    0.00    0.00       0     0.26    0.00    0.00       0
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.27    0.00    0.00       0
           0             0     uint8    none      -1     0.26    0.00    0.00       0     0.28    0.00    0.00       0
           0             0     uint8    none      -1     0.25    0.00    0.00       0     0.24    0.00    0.00       0
           0             0     uint8    none      -1     0.22    0.00    0.00       0     0.22    0.00    0.00       0
           0             0     uint8    none      -1     0.23    0.00    0.00       0     0.22    0.00    0.00       0
         128            16     uint8    none      -1    18.69    0.01    0.01       0    18.61    0.01    0.01       0
         256            32     uint8    none      -1    19.43    0.01    0.01       0    18.28    0.01    0.01       0
         512            64     uint8    none      -1    18.60    0.03    0.02       0    20.62    0.02    0.02       0
        1024           128     uint8    none      -1    20.51    0.05    0.04       0    20.36    0.05    0.04       0
        2048           256     uint8    none      -1    20.14    0.10    0.09       0    19.82    0.10    0.09       0
        4096           512     uint8    none      -1    21.03    0.19    0.17       0    20.56    0.20    0.17       0
        8192          1024     uint8    none      -1    21.62    0.38    0.33       0    21.26    0.39    0.34       0
       16384          2048     uint8    none      -1    22.22    0.74    0.65       0    21.76    0.75    0.66       0
       32768          4096     uint8    none      -1    22.80    1.44    1.26       0    23.20    1.41    1.24       0
       65536          8192     uint8    none      -1    26.24    2.50    2.19       0    24.41    2.68    2.35       0
      131072         16384     uint8    none      -1    26.69    4.91    4.30       0    26.50    4.95    4.33       0
      262144         32768     uint8    none      -1    50.04    5.24    4.58       0    49.32    5.32    4.65       0
      524288         65536     uint8    none      -1    65.71    7.98    6.98       0    65.58    8.00    7.00       0
     1048576        131072     uint8    none      -1   123.08    8.52    7.45       0   100.43   10.44    9.14       0
     2097152        262144     uint8    none      -1    55.42   37.84   33.11     832    55.86   37.54   32.85       0
     4194304        524288     uint8    none      -1    77.52   54.11   47.34       0    76.95   54.51   47.69       0
     8388608       1048576     uint8    none      -1   118.03   71.07   62.19       0   117.97   71.11   62.22       0
    16777216       2097152     uint8    none      -1  1518.28   11.05    9.67       0   208.68   80.40   70.35       0
    33554432       4194304     uint8    none      -1   367.47   91.31   79.90       0   366.70   91.50   80.07       0
    67108864       8388608     uint8    none      -1   701.23   95.70   83.74       0   701.80   95.62   83.67       0
   134217728      16777216     uint8    none      -1  1371.96   97.83   85.60       0  1369.08   98.03   85.78       0
# Out of bounds values : 7 FAILED
# Avg bus bandwidth    : 16.4697 
#
# Collective test concluded: all_gather_perf
#

