# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1     uint8     sum      -1    91.03    0.00    0.00       0    41.52    0.00    0.00       0
           2             2     uint8     sum      -1    39.78    0.00    0.00       0    39.99    0.00    0.00       0
           4             4     uint8     sum      -1    39.49    0.00    0.00       0    39.94    0.00    0.00       0
           8             8     uint8     sum      -1    39.27    0.00    0.00       0    39.55    0.00    0.00       0
          16            16     uint8     sum      -1    39.51    0.00    0.00       0    39.62    0.00    0.00       0
          32            32     uint8     sum      -1    39.78    0.00    0.00       0    39.07    0.00    0.00       0
          64            64     uint8     sum      -1    45.37    0.00    0.00       0    46.66    0.00    0.00       0
         128           128     uint8     sum      -1    46.40    0.00    0.01       0    46.00    0.00    0.01       0
         256           256     uint8     sum      -1    52.12    0.00    0.01       0    46.80    0.01    0.01       0
         512           512     uint8     sum      -1    49.57    0.01    0.02       0    48.23    0.01    0.02       0
        1024          1024     uint8     sum      -1    51.25    0.02    0.04       0    50.03    0.02    0.04       0
        2048          2048     uint8     sum      -1    55.09    0.04    0.07       0    53.87    0.04    0.07       0
        4096          4096     uint8     sum      -1    61.58    0.07    0.13       0    58.74    0.07    0.14       0
        8192          8192     uint8     sum      -1    62.13    0.13    0.26       0    60.92    0.13    0.26       0
       16384         16384     uint8     sum      -1    64.42    0.25    0.50       0    61.15    0.27    0.53       0
       32768         32768     uint8     sum      -1    64.73    0.51    1.00       0    62.07    0.53    1.04       0
       65536         65536     uint8     sum      -1    74.90    0.87    1.72       0    74.25    0.88    1.74       0
      131072        131072     uint8     sum      -1    95.39    1.37    2.71       0    93.73    1.40    2.75       0
      262144        262144     uint8     sum      -1    98.25    2.67    5.25       0    98.16    2.67    5.26       0
      524288        524288     uint8     sum      -1   110.45    4.75    9.34    3904   109.20    4.80    9.45       0
     1048576       1048576     uint8     sum      -1   133.12    7.88   15.51       0   133.87    7.83   15.42    8192
     2097152       2097152     uint8     sum      -1   212.42    9.87   19.44    4096  1359.54    1.54    3.04   24512
     4194304       4194304     uint8     sum      -1   466.14    9.00   17.71   30264   461.26    9.09   17.90   20480
     8388608       8388608     uint8     sum      -1   653.00   12.85   25.29   31232   652.44   12.86   25.31    4780
    16777216      16777216     uint8     sum      -1   920.48   18.23   35.88       0  1171.64   14.32   28.19       0
    33554432      33554432     uint8     sum      -1   979.36   34.26   67.45       0  6717.91    4.99    9.83       0
    67108864      67108864     uint8     sum      -1  1670.01   40.18   79.11       0  27023.4    2.48    4.89       0
   134217728     134217728     uint8     sum      -1   142447    0.94    1.86       0  90936.3    1.48    2.91       0
# Out of bounds values : 512 FAILED
# Avg bus bandwidth    : 7.35969 
#
# Collective test concluded: all_reduce_perf
#

