# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     uint8    none      -1     0.31    0.00    0.00       0     0.22    0.00    0.00       0
           0             0     uint8    none      -1     0.24    0.00    0.00       0     0.29    0.00    0.00       0
           0             0     uint8    none      -1     0.30    0.00    0.00       0     0.30    0.00    0.00       0
           0             0     uint8    none      -1     0.31    0.00    0.00       0     0.30    0.00    0.00       0
           0             0     uint8    none      -1     0.29    0.00    0.00       0     0.27    0.00    0.00       0
           0             0     uint8    none      -1     0.28    0.00    0.00       0     0.27    0.00    0.00       0
           0             0     uint8    none      -1     0.27    0.00    0.00       0     0.25    0.00    0.00       0
           0             0     uint8    none      -1     0.24    0.00    0.00       0     0.23    0.00    0.00       0
           0             0     uint8    none      -1     0.23    0.00    0.00       0     0.24    0.00    0.00       0
           0             0     uint8    none      -1     0.23    0.00    0.00       0     0.22    0.00    0.00       0
        1024            16     uint8    none      -1   148.31    0.01    0.01       0   145.55    0.01    0.01       0
        2048            32     uint8    none      -1   142.00    0.01    0.01       0   140.18    0.01    0.01       0
        4096            64     uint8    none      -1   144.69    0.03    0.03       0   143.39    0.03    0.03       0
        8192           128     uint8    none      -1   143.35    0.06    0.06       0   147.06    0.06    0.05       0
       16384           256     uint8    none      -1   146.92    0.11    0.11       0   145.99    0.11    0.11       0
       32768           512     uint8    none      -1   156.41    0.21    0.21       0   156.46    0.21    0.21       0
       65536          1024     uint8    none      -1   174.74    0.38    0.37       0   173.05    0.38    0.37       0
      131072          2048     uint8    none      -1   183.58    0.71    0.70       0   184.95    0.71    0.70       0
      262144          4096     uint8    none      -1   240.41    1.09    1.07       0   253.14    1.04    1.02       0
      524288          8192     uint8    none      -1   298.91    1.75    1.73       0   255.59    2.05    2.02       0
     1048576         16384     uint8    none      -1   250.53    4.19    4.12       0   249.78    4.20    4.13       0
     2097152         32768     uint8    none      -1   449.77    4.66    4.59       0   389.75    5.38    5.30       0
     4194304         65536     uint8    none      -1   503.02    8.34    8.21       0   548.04    7.65    7.53       0
     8388608        131072     uint8    none      -1   609.26   13.77   13.55   41334   620.03   13.53   13.32   23168
    16777216        262144     uint8    none      -1   795.92   21.08   20.75   30848   857.60   19.56   19.26   32256
    33554432        524288     uint8    none      -1   462.17   72.60   71.47       0  1232.48   27.23   26.80       0
    67108864       1048576     uint8    none      -1  6979.18    9.62    9.47       0  7237.06    9.27    9.13       0
   134217728       2097152     uint8    none      -1  25387.3    5.29    5.20       0  53917.0    2.49    2.45       0
# Out of bounds values : 256 FAILED
# Avg bus bandwidth    : 4.18029 
#
# Collective test concluded: all_gather_perf
#

