
0 gpu 4 1

0 gpu 4 1

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.61              Pass
2                       5.21              Pass
4                      10.48              Pass
8                      21.64              Pass
16                     43.27              Pass
32                     86.10              Pass
64                    172.44              Pass
128                   343.32              Pass
256                   644.55              Pass
512                  1220.10              Pass
1024                 2373.49              Pass
2048                 4291.81              Pass
4096                 7571.42              Pass
8192                11088.89              Pass
16384               15958.33              Pass
32768               24642.94              Pass
65536               28199.41              Pass
131072              30293.40              Pass
262144              28031.79              Pass
524288              28790.64              Pass
1048576             27631.39              Pass
2097152             27437.84              Pass
4194304             27470.97              Pass
