
0 gpu 4 1

0 gpu 4 1

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.01              Pass
2                       4.00              Pass
4                       8.04              Pass
8                      16.50              Pass
16                     33.01              Pass
32                     66.21              Pass
64                    132.10              Pass
128                   263.14              Pass
256                   499.24              Pass
512                   999.73              Pass
1024                 1990.32              Pass
2048                 3973.36              Pass
4096                 7737.00              Pass
8192                15190.57              Pass
16384               22610.23              Pass
32768               25553.26              Pass
65536               28630.95              Pass
131072              31163.58              Pass
262144              30306.28              Pass
524288              28622.57              Pass
1048576             27526.65              Pass
2097152             27400.61              Pass
4194304             27420.93              Pass
