
0 gpu 4 1

0 gpu 4 1

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       3.58              Pass
2                       3.58              Pass
4                       3.57              Pass
8                       3.57              Pass
16                      3.56              Pass
32                      3.57              Pass
64                      3.57              Pass
128                     4.04              Pass
256                     4.19              Pass
512                     4.22              Pass
1024                    4.28              Pass
2048                    4.40              Pass
4096                    4.55              Pass
8192                    4.95              Pass
16384                   5.77              Pass
32768                  12.24              Pass
65536                  13.95              Pass
131072                 16.84              Pass
262144                 22.72              Pass
524288                 34.50              Pass
1048576                57.35              Pass
2097152               103.45              Pass
4194304               197.31              Pass
