
0 gpu 4 1

0 gpu 4 1

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.99              Pass
2                       3.97              Pass
4                       7.97              Pass
8                      16.39              Pass
16                     32.75              Pass
32                     65.62              Pass
64                    130.80              Pass
128                   260.33              Pass
256                   498.34              Pass
512                   997.12              Pass
1024                 1986.95              Pass
2048                 3952.18              Pass
4096                 7744.86              Pass
8192                15182.87              Pass
16384               22622.45              Pass
32768               25534.08              Pass
65536               28648.99              Pass
131072              31152.27              Pass
262144              30042.70              Pass
524288              28504.15              Pass
1048576             27492.43              Pass
2097152             27420.03              Pass
4194304             27475.29              Pass
