
0 gpu 4 1

0 gpu 4 1

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       3.57              Pass
2                       3.56              Pass
4                       3.55              Pass
8                       3.56              Pass
16                      3.56              Pass
32                      3.56              Pass
64                      3.56              Pass
128                     4.03              Pass
256                     4.36              Pass
512                     4.43              Pass
1024                    4.49              Pass
2048                    4.58              Pass
4096                    4.73              Pass
8192                    5.15              Pass
16384                   6.00              Pass
32768                  12.45              Pass
65536                  14.17              Pass
131072                 16.85              Pass
262144                 22.68              Pass
524288                 33.73              Pass
1048576                55.77              Pass
2097152                99.45              Pass
4194304               187.02              Pass
