
0 gpu 4 1

0 gpu 4 1

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.93              Pass
2                       3.86              Pass
4                       7.74              Pass
8                      15.77              Pass
16                     31.28              Pass
32                     63.32              Pass
64                    127.07              Pass
128                   253.29              Pass
256                   491.04              Pass
512                   982.15              Pass
1024                 1895.36              Pass
2048                 3853.53              Pass
4096                 7763.87              Pass
8192                15558.18              Pass
16384               24996.42              Pass
32768               31550.58              Pass
65536               37698.75              Pass
131072              41640.28              Pass
262144              40675.46              Pass
524288              40790.77              Pass
1048576             40512.90              Pass
2097152             41175.22              Pass
4194304             40809.78              Pass
