0 gpu 4 2
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.47              Pass
2                       0.43              Pass
4                       0.43              Pass
8                       0.43              Pass
16                      0.61              Pass
32                      0.61              Pass
64                      0.61              Pass
128                     0.81              Pass
256                     0.85              Pass
512                     0.82              Pass
1024                    0.90              Pass
2048                    0.92              Pass
4096                    0.94              Pass
8192                    1.08              Pass
16384                   1.36              Pass
32768                   1.70              Pass
65536                   2.31              Pass
131072                  4.16              Pass
262144                  7.61              Pass
524288                 18.63              Pass
1048576                34.32              Pass
2097152                63.52              Pass
4194304               130.52              Pass
