# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     110.73
8                     110.69
16                    100.71
32                    100.79
64                     43.52
128                    43.94
256                    45.32
512                    47.13
1024                   48.78
2048                   51.89
4096                   57.12
8192                  111.19
16384                 120.60
32768                 122.08
65536                 123.22
131072                156.20
262144                172.63
524288                201.76
1048576               265.49
