# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.75
8                      33.46
16                     33.52
32                     33.72
64                     33.85
128                    34.68
256                    36.59
512                    37.13
1024                   37.68
2048                   38.82
4096                   40.76
8192                   45.54
16384                  63.84
32768                  77.69
65536                  96.33
131072                691.60
262144               1902.26
524288               2108.82
1048576              2969.26
