# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      91.09
2                      90.75
4                      89.95
8                      92.65
16                     90.71
32                     89.86
64                     89.53
128                    92.19
256                    92.38
512                    93.70
1024                   95.19
2048                  101.14
4096                  107.33
8192                  177.69
16384                 287.25
32768                 445.20
65536                 723.73
131072               1270.81
262144               2428.00
524288               4806.81
1048576              9490.51
