# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     231.74
2                     246.73
4                     248.09
8                     250.11
16                    264.89
32                    297.24
64                    259.39
128                   281.15
256                   328.00
512                   406.09
1024                  420.62
2048                  426.13
4096                  435.53
8192                  457.90
16384                 686.76
32768                3773.59
65536                4628.77
131072               6533.86
262144              10646.19
524288              19638.66
1048576             39486.77
