# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.31
2                       5.39
4                       5.38
8                       5.38
16                      5.47
32                      5.47
64                      5.45
128                     5.52
256                     5.60
512                     8.38
1024                    8.57
2048                    8.68
4096                    9.20
8192                   10.15
16384                  13.19
32768                  17.41
65536                  30.20
131072                 51.15
262144                 82.17
524288                131.90
1048576               247.73
