# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.97
2                      24.08
4                      24.14
8                      25.21
16                     23.88
32                     23.86
64                     23.98
128                    24.08
256                    24.57
512                    24.77
1024                   25.08
2048                   25.39
4096                   26.15
8192                   36.36
16384                 111.33
32768                  44.10
65536                  66.72
131072                112.12
262144                204.84
524288                559.24
1048576               832.41
