# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.69
8                      31.42
16                     31.08
32                     45.98
64                     45.64
128                    49.97
256                    53.65
512                    56.14
1024                   90.71
2048                   67.86
4096                   69.84
8192                   72.79
16384                  83.14
32768                 121.77
65536                 158.26
131072                242.81
262144                417.72
524288                748.96
1048576              1407.08
