# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.37
2                      24.54
4                      24.58
8                      25.68
16                     24.35
32                     25.12
64                     25.83
128                    25.91
256                    26.13
512                    26.59
1024                   27.26
2048                  673.24
4096                 1010.91
8192                 2011.63
16384                2525.73
32768                1754.18
65536                2353.90
131072               1898.01
262144               1481.53
524288               1430.59
1048576              1064.82
