# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      59.83
2                      60.27
4                      61.03
8                      61.43
16                     62.53
32                     63.66
64                     81.81
128                  2596.93
256                  3717.45
512                  4237.22
1024                 4332.91
2048                 1729.34
4096                  391.44
8192                  347.41
16384                 485.96
32768                 792.49
65536                1372.55
131072               2583.10
262144               4873.85
524288               9807.23
1048576             19651.75
