# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.72
8                      40.35
16                     40.48
32                     41.21
64                     62.28
128                    66.21
256                    69.63
512                    72.66
1024                   75.57
2048                   78.20
4096                   83.92
8192                   88.11
16384                  95.65
32768                 185.15
65536                 281.41
131072                664.92
262144                530.32
524288               1810.79
1048576              1665.69
