# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      72.64
2                      73.83
4                      74.55
8                      75.04
16                     76.09
32                     91.56
64                   2849.85
128                  3729.78
256                  4577.56
512                  4805.25
1024                 1830.93
2048                  395.47
4096                  388.04
8192                  535.67
16384                 824.17
32768                1407.46
65536                2546.86
131072               4964.97
262144               9929.10
524288              20101.08
1048576             40243.97
