# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.65
2                      41.80
4                      44.53
8                      48.33
16                     58.59
32                     58.71
64                    200.21
128                   214.67
256                   247.63
512                   330.23
1024                  483.67
2048                  753.17
4096                  962.56
8192                 2229.46
16384                3047.92
32768                4718.46
65536                9479.97
131072              20924.30
262144              41857.08
524288              84353.43
1048576            171508.57
