# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.46
2                      11.31
4                      11.61
8                      11.57
16                     12.98
32                     14.60
64                     15.20
128                    16.03
256                    17.86
512                    19.53
1024                   27.13
2048                   26.70
4096                   45.73
8192                   65.37
16384                 102.76
32768                 180.96
65536                 346.90
131072                664.01
262144               1305.70
524288               2581.29
1048576              5355.32
