# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      70.13
8                      69.33
16                     69.26
32                     69.14
64                     68.97
128                    69.72
256                    69.80
512                    81.03
1024                   82.41
2048                   81.86
4096                   82.06
8192                  156.31
16384                 159.40
32768                 172.78
65536                 261.31
131072                422.09
262144                696.13
524288               1271.21
1048576              2455.41
