# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                    1879.97
2                    1879.71
4                    1890.00
8                    1889.71
16                   1890.29
32                   1889.09
64                   1895.64
128                  2413.86
256                  2471.39
512                  1897.17
1024                 1904.72
2048                 1973.58
4096                 1999.76
8192                 5602.51
16384                5664.04
32768                5955.39
65536               10675.25
131072              10995.59
262144              21102.00
524288              40847.25
1048576             84012.24
