# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     202.71
2                      84.22
4                      78.83
8                      75.75
16                     76.98
32                     76.71
64                     77.33
128                    82.26
256                    92.63
512                  1425.89
1024                 3247.17
2048                 3677.44
4096                  680.71
8192                  332.22
16384                 567.34
32768                1013.51
65536                3242.26
131072               8199.22
262144              18329.92
524288              37997.15
1048576             80468.61
