# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.30
2                      42.35
4                      42.72
8                      43.00
16                     53.00
32                     53.72
64                     55.66
128                    58.29
256                    60.54
512                    43.53
1024                   45.20
2048                   49.21
4096                   57.46
8192                   63.06
16384                  93.48
32768                 132.82
65536                 228.59
131072                430.04
262144                892.98
524288               1861.78
1048576              4237.46
