# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      51.53
8                      52.91
16                     52.92
32                     70.28
64                     69.00
128                    73.83
256                    74.21
512                    77.29
1024                   79.95
2048                   83.69
4096                   88.71
8192                  154.33
16384                 490.21
32768                 625.59
65536                 627.66
131072               3512.38
262144               7835.41
524288               5719.54
1048576              7740.72
