# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.92
8                      26.53
16                     32.45
32                     32.84
64                     32.47
128                    36.04
256                    38.71
512                    40.75
1024                   58.37
2048                   56.65
4096                   51.97
8192                   54.33
16384                  62.56
32768                  90.39
65536                 124.46
131072                195.03
262144                340.70
524288                630.64
1048576              1210.87
