# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    4948.73
2                    5134.02
4                    5196.61
8                    5230.37
16                   5275.68
32                   5311.72
64                   5335.98
128                 17896.10
256                  6316.35
512                  5664.28
1024                  181.12
2048                  189.22
4096                  205.90
8192                 2121.35
16384                2139.55
32768                2258.70
65536                2258.98
131072               2265.68
262144               8756.98
524288              11809.48
1048576             18634.62
