# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     109.36
8                     108.62
16                     99.30
32                     99.24
64                     41.83
128                    42.39
256                    43.68
512                    45.08
1024                   46.73
2048                   50.39
4096                   54.20
8192                  110.54
16384                 119.37
32768                 119.62
65536                 121.09
131072                149.26
262144                167.03
524288                200.61
1048576               260.63
