# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      26.66
8                      27.77
16                     49.48
32                     50.12
64                     48.96
128                    52.79
256                    54.19
512                    56.70
1024                   76.96
2048                   74.16
4096                   69.82
8192                 5518.50
16384                7072.72
32768                7425.69
65536                7216.50
131072               8369.92
262144              11102.36
524288              23589.61
1048576             40369.51
