# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     164.64
8                      80.07
16                     79.29
32                     80.41
64                    115.57
128                   128.27
256                   120.45
512                   122.64
1024                  125.65
2048                  165.12
4096                  146.18
8192                 3069.46
16384                4840.01
32768                5590.87
65536                8127.96
131072              13405.51
262144              26630.97
524288              13562.60
1048576             17930.78
