# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.76
2                      22.81
4                      23.25
8                      24.70
16                     27.92
32                     29.47
64                     30.18
128                    32.55
256                    33.47
512                    34.81
1024                   41.21
2048                   52.57
4096                   73.85
8192                  115.31
16384                 198.67
32768                 359.39
65536                 686.37
131072               1396.90
262144               2688.14
524288               5227.09
1048576             10358.76
