# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       3.29
8                       3.27
16                      3.47
32                      3.79
64                      3.84
128                     4.11
256                     4.21
512                     6.31
1024                    7.02
2048                    9.53
4096                   11.31
8192                   14.56
16384                  18.05
32768                  23.92
65536                  36.71
131072                 60.39
262144                183.27
524288                365.10
1048576               678.75
