# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.03
2                      34.70
4                      36.92
8                      39.72
16                     42.65
32                     47.47
64                     49.25
128                    50.98
256                    60.95
512                    70.24
1024                   95.47
2048                  134.27
4096                  211.78
8192                  361.66
16384                 664.66
32768                1277.60
65536                2503.41
131072               4955.55
262144               9860.46
524288              19956.78
1048576             39893.28
