# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     186.90
2                     190.47
4                     194.44
8                     195.17
16                    196.58
32                    194.06
64                    194.58
128                   224.35
256                   225.06
512                   232.76
1024                  228.02
2048                  225.34
4096                  225.93
8192                  237.96
16384                 259.99
32768                 503.87
65536                 781.25
131072               1375.92
262144               2522.38
524288               4852.33
1048576              9792.45
