# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.28
8                      19.73
16                     19.73
32                     20.33
64                     19.68
128                    22.96
256                    25.16
512                    25.49
1024                   26.21
2048                   27.41
4096                   31.26
8192                   33.57
16384                  38.20
32768                  61.04
65536                 113.09
131072                229.16
262144                416.15
524288                806.12
1048576              1214.99
