# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.65
8                       4.69
16                      4.81
32                      4.96
64                      5.63
128                     5.81
256                     6.20
512                     6.35
1024                    6.54
2048                    7.50
4096                    9.02
8192                   14.71
16384                  18.67
32768                  24.02
65536                  37.05
131072                 59.56
262144                112.49
524288                209.44
1048576               424.95
