
# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      57.82
8                      58.80
16                     58.93
32                     60.29
64                     58.43
128                    66.74
256                   109.35
512                   111.34
1024                  113.79
2048                  119.05
4096                  126.99
8192                  488.88
16384                1103.56
32768                1547.92
65536                3325.07
131072               6511.71
262144              10998.96
524288               7272.69
1048576              9078.81
