# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.73
8                      20.72
16                     27.00
32                     27.03
64                     27.77
128                    29.21
256                    33.48
512                    34.92
1024                   39.54
2048                   41.22
4096                   57.83
8192                   51.01
16384                  56.10
32768                  71.19
65536                 104.77
131072                180.05
262144                334.85
524288                626.59
1048576              1214.02
