# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     124.03
2                     126.32
4                     137.59
8                     137.97
16                    150.53
32                    141.77
64                    145.05
128                   152.31
256                   165.77
512                   228.79
1024                  188.32
2048                  193.75
4096                  213.52
8192                  274.74
16384                 407.52
32768                 634.63
65536                1163.93
131072               2331.71
262144               6033.67
524288              10377.65
1048576             19637.97
