# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.36
2                      42.98
4                      43.07
8                      46.50
16                     46.58
32                     46.35
64                     48.77
128                    51.85
256                    54.11
512                    43.80
1024                   45.16
2048                   48.65
4096                   56.80
8192                   62.78
16384                  92.86
32768                 131.53
65536                 222.98
131072                423.44
262144                853.93
524288               1878.05
1048576              4233.26
