# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     317.77
2                     318.41
4                     318.75
8                     320.00
16                    318.84
32                    319.21
64                    321.78
128                   324.66
256                   327.11
512                   337.60
1024                 1788.11
2048                  445.36
4096                 1862.47
8192                 2044.04
16384                2245.09
32768               56388.93
65536                9000.81
131072               9319.81
262144              16790.56
524288              16822.18
1048576             16623.20
