# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.85
2                      30.00
4                      31.68
8                      33.96
16                     36.73
32                     39.50
64                     54.43
128                    50.36
256                    47.96
512                    53.07
1024                   70.94
2048                   99.63
4096                  148.12
8192                  228.12
16384                 378.73
32768                 676.16
65536                1275.15
131072               2474.78
262144               4973.33
524288              10210.59
1048576             20537.81
