# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     396.29
2                     396.58
4                     619.92
8                     619.96
16                    621.39
32                    623.97
64                    624.40
128                   626.59
256                   633.98
512                   411.05
1024                  415.41
2048                  421.33
4096                  431.96
8192                  469.30
16384                 504.14
32768                 598.87
65536                 769.90
131072               1082.77
262144               1720.74
524288              14228.93
1048576             30213.92
